T�tulo;Rating;Votos;Duraci�n;Director;G�nero;A�o
Pebbles;3.6;16;24;nm2736117;Family,Fantasy,Musical;1998
The Soldier on the Grave;7.5;1290;43;nm0690607;Crime,Drama,Mystery;2006
Jam Films S;5.4;69;118;nm0357304;Comedy;2005
Se compromettre;7.6;16;9;nm8628959;Drama;2017
Time Enough: The Alien Conspiracy;4.4;57;96;nm0003762;Sci-Fi;2002
Escape from Area 51;5.3;26;11;nm7701152;Sci-Fi,Short,Thriller;2016
Choosing a drivable/Boondocking;8.9;9;24;nm4006712;Documentary;2019
Better Together;8.4;5;11;nm2524642;Adventure,Animation,Comedy;2017
Severe Visibility;6.3;37;90;nm0189237;Drama,History,Mystery;2007
Episode #1.1;7.8;8;30;nm7989189;Drama,Romance;2023
Bodyguards;6.4;10;45;nm0081590;Action;1996
Episode #1.2;7.6;17;60;nm5711202;Drama;2012
Black Vortex;7.2;84;22;nm5363370;Action,Adventure,Animation;2019
McLenBurger - 100 % Heimat;5.1;35;89;nm0379063;Comedy,Drama;2022
Hawk Smith;6.9;64;23;nm2307949;Comedy,Fantasy;2016
Burning from the Inside;7.8;17;64;nm3103786;Documentary;2015
Don't Open the Door;6.5;55;114;nm3183685;Horror;2022
Incoming Freshmen;4.2;131;84;nm0604690;Comedy;1979
Goede tijden;5;44;82;nm0943404;Drama;1998
Landscaping;5.2;5;15;nm0140653;Short;2000
Take It to Church;8.6;52;44;nm0724757;Drama,Music,Musical;2018
12-ji no kane ga naru toki;7.4;12;24;nm0407445;Action,Adventure,Animation;1984
Ropewalker Memories;3.7;11;114;nm4220623;Drama;2023
February;8.9;14;49;nm5273949;Comedy,Drama,Short;2024
Beetlebones;7.4;24;22;nm0120327;Adventure,Animation,Comedy;1991
The Congress of Nations;4.6;122;2;nm0807236;Short;1900
Ever After High: Way Too Wonderland;7.7;538;90;nm0190779;Adventure,Animation,Drama;2015
Who We Love;7.7;39;92;nm1531261;Drama;2021
The Lawn Boy;5.5;79;81;nm2029672;Comedy,Romance;2008
Hilfe! Sperma von allen Seiten!;5.5;8;82;nm1180436;Adult;2001
I Need My Mom;7;56;21;nm0038893;Comedy;2018
Lee's Offering;6.1;24;105;nm1968691;Drama;2005
Family Business;7.3;30;22;nm0224701;Adventure,Drama,Family;1990
Riot On!;6.1;526;75;nm0278134;Documentary;2004
Frenemy;3.8;100;10;nm0442483;Action,Animation,Comedy;2016
Bosco;5.6;3838;99;nm7665409;Drama,Thriller;2024
Reflections in Terror;6.9;253;60;nm0393661;Action,Adventure,Sci-Fi;1984
The Atlas;7.3;36;30;nm4946760;Comedy,Drama,Short;2017
Blow!;4.8;7;10;nm4604395;Biography,Documentary,History;2011
Djanta;6.6;8;106;nm0653472;Drama;2007
The Code;8.3;11;22;nm0110940;Action,Adventure,Animation;2007
Date with Danger: Part 2;7.5;107;60;nm0390103;Action,Crime,Drama;1978
Project: Tomorrow Men;5.3;12;90;nm1621612;Documentary;2003
Episode #1.2;7.5;14;25;nm0590113;Comedy;1976
Episode #2.4;7.7;100;30;nm0004105;Comedy,Drama,Romance;1978
Japan;8.9;17;44;nm2040778;Reality-TV;2008
A Dick on One Knee;7.5;369;22;nm0400958;Comedy,Family,Sci-Fi;1997
Caterpillar;6.8;10;15;nm8988056;Horror,Short,Thriller;2023
O Diamante;7.7;26;102;nm0708612;Drama;1956
A Merry Mirthworm Christmas;7;65;24;nm0365286;Animation,Family;1984
Last Twilight in Phuket;8.1;142;14;nm9479658;Short;2021
New Order;7.6;30;26;nm0245615;Action,Animation,Comedy;2008
After the Revolution;5.3;1555;95;nm4439945;Drama;2011
News Night with Will McAvoy;8.2;1438;58;nm0693561;Drama;2013
Power;6.2;39;240;nm0790395;Action,Biography,Drama;1980
The Rhinoceros in the Middle of the Room;6.8;23;24;nm3124542;Comedy,Drama,Family;2005
The Mark of El Kabong/Party Pooper Pop/Chilly Chiller;5.9;25;30;nm0053484;Animation,Comedy,Family;1961
Ain't No Reason to Get Excited;7.8;799;22;nm0862932;Comedy;2016
Per sempre;5.7;13;9;nm0002645;Short;2016
The Super;5.2;21945;90;nm1357855;Crime,Drama,Horror;2017
Svinet;8.3;25;57;nm0423768;Comedy;1995
Date mit der Vergangenheit;6.9;40;23;nm1540128;Comedy,Drama;2019
The Black Sea;5;46;75;nm4150282;Drama,Mystery;2015
Lies Wide Shut;7.2;638;57;nm0528337;Drama,Romance;2021
Mystery 101: Dead Talk;7.3;1155;86;nm0429541;Crime,Mystery;2019
PSL: Matlock;9.6;10;7;nm16059247;Comedy,Short;2024
Episode #2.3;6.7;10;45;nm7603316;Documentary;2019
Sinduraa (Odia);9.7;49;150;nm3464785;Drama;2024
Pocket Gangsters;6.9;18;110;nm6940726;Romance,Thriller;2015
Vîrstele omului;7.6;18;73;nm0188547;Fantasy,Romance;1969
Soberano 2: A Heroica Conquista do Mundial de 2005;9;36;90;nm1103151;Documentary;2012
Harry: The Interview;5.3;302;94;nm8303837;Documentary,News;2023
Proximity;6.2;6;4;nm2496799;Short;1973
End Times How Close Are We?;5.6;38;59;nm1899865;Documentary,Family;2006
Blutige Ostern;8.2;12;9;nm2277199;Comedy,Horror,Sci-Fi;2014
Architecture of Reassurance;6.1;226;22;nm0590122;Fantasy,Short;2000
Memories of Gloomy Monsoons;8.9;80;97;nm8469282;Drama,Family;2023
La serpiente de la luna de los piratas;7;30;93;nm0430335;Drama;1973
Heartless;8.3;42;45;nm0561879;Drama,Family,Mystery;2007
Berlin Now;7.5;31;59;nm0446046;Documentary,Music;1985
Bedknobs and Drumsticks;6.8;79;30;nm0909098;Comedy,Family,Music;1973
Rubble Trouble;7.9;21;20;nm1211084;Action,Adventure,Animation;2007
The Interrogation;7.5;2034;43;nm0003150;Action,Drama,Mystery;2016
La quiniela;6.1;33;90;nm0548072;Comedy;1960
Marjorie Prime;6.3;6962;99;nm0021899;Drama,Mystery,Romance;2017
The Pursued: Part 1;7.2;104;60;nm0936823;Western;1966
The Miraculous Tales of Mickey McGuigan;8.8;17;60;nm1427130;Documentary;2013
The Snow Day Variety Method;7.6;5;23;nm0567345;Comedy;2014
Dad's Visit;7.1;459;22;nm0913637;Comedy,Romance;2009
Fünf Freunde;6.8;12;91;nm0626071;Comedy,Crime;2010
Vault of Bones;7.9;1725;10;nm2692622;Action,Adventure,Animation;2013
Doogal;2.8;5504;78;nm0664896;Adventure,Animation,Comedy;2006
Antar's Daughter;7.1;17;102;nm0252826;Action,Drama,History;1964
Episode #1.7;7.1;90;37;nm5048826;Biography,Crime,Drama;2023
Utt Pataang;6;331;101;nm4250442;Comedy,Drama;2011
Denial;6.7;7;9;nm3357359;Short,Thriller;2009
Young Deadly Love;6.7;16;43;nm2932262;Mystery;2020
Sonic Breakout;7.5;56;22;nm0125340;Action,Adventure,Animation;1993
Death of a Cyclist;7.7;4592;88;nm0054219;Crime,Drama;1955
When a Man Loves a Donut;7.4;96;22;nm0307680;Comedy,Drama;1995
Episode #1.24;7.2;88;22;nm0842611;Drama,Fantasy,Horror;1966
Mirch;6.5;984;105;nm0795664;Comedy,Drama,Fantasy;2010
The Baffling Bluffs of Hugo a Go-Go;8.1;8;5;nm0781511;Animation,Short;1967
Abracadabra;8.6;18;60;nm0080424;Drama;2006
Dressed to Kill;7.1;475;41;nm1270350;Comedy,Crime,Drama;2017
Consecutive Battles;8.3;181;25;nm1300317;Action,Animation,Drama;1992
Manga train;5.5;12;21;nm0627267;Documentary,Short;1998
O zivej vode;5.6;34;89;nm1075943;Fantasy;1988
The Goldmaker;7.4;33;25;nm0084204;Action,Adventure,Family;1956
Walk-Off Home Run;7.7;13;23;nm1225253;Action,Animation,Crime;2018
Nebesnyy tikhokhod;7.4;464;83;nm0863780;Comedy,War;1946
A Most Holy Man;7.8;2964;42;nm0850102;Drama,Fantasy,Horror;2018
What They Saw in Southie High;7.7;586;55;nm0080601;Crime,Drama,Thriller;2019
Hay que parar la delantera;3.7;10;90;nm0169691;Comedy;1977
Endless Eight II;7.2;126;25;nm2128776;Animation,Comedy,Drama;2009
Aquel rebaño azul;8.2;16;99;nm3620041;Crime,Documentary,Drama;2009
Eurythmics Live;7.9;48;90;nm0938892;Music;1987
At Christmas;8.1;68;29;nm1388009;Comedy,Game-Show;2018
Heir Apparent: Part 1;7.3;66;23;nm0112653;Action,Adventure,Family;2006
King Charles III: A New Era;3.9;14;60;nm11554226;Biography,Documentary;2023
Boy Meets Girl;7.1;5011;95;nm0769703;Comedy,Drama,Romance;2014
Neutrals;7.4;7;14;nm7007630;Comedy,Crime,Short;2020
The Hatrocks and the Gruesomes;7.5;196;30;nm0360253;Adventure,Animation,Comedy;1965
Battle of the Bands;6;41;24;nm0841319;Animation,Drama,Family;2009
Missouri Mish Mash: Parts 1-2;7.6;29;22;nm1598972;Action,Adventure,Animation;1961
Tiny Toony's Christmas Carol;9;7;120;nm2171007;Animation;2022
I Will Survive;7.4;130;30;nm3846239;Comedy,Drama,Music;2020
Escape from Planet Earth;5.8;27187;89;nm2117510;Adventure,Animation,Comedy;2012
To Kill a Demon;6.2;16;15;nm3830198;Crime,Drama,Family;2010
Liar;5.9;14;91;nm0178932;Adult;2003
9 ways to draw a person;7;18;7;nm8416752;Animation,Short;2017
Steve Vai: Live from Club Nokia;8.6;6;369;nm0726485;Music;2012
Philomena;7.6;104596;98;nm0001241;Biography,Comedy,Drama;2013
I'll Be There;6.3;42;21;nm0445380;Comedy,Drama,Family;1996
Pigmallian/Bugs the Gladiator;7.5;13;11;nm3632827;Adventure,Animation,Comedy;2018
Unbelievable Tales;5.9;48;5;nm1551598;Animation,Comedy,Short;2006
Choco Loco;7;45;2;nm5720147;Music,Short;2014
Da du xiao;5.9;26;86;nm0156966;Action,Drama;1975
The Maud Couple;7;393;22;nm2638285;Adventure,Animation,Comedy;2018
Out-of-Time-Step;4.8;93;45;nm0042500;Action,Adventure,Drama;1984
Treason;6.9;112;96;nm0543650;Drama,Romance,War;1964
Masters of Resonance;7.7;16;67;nm3524652;Documentary,Music,Musical;2018
The Legend of Johnny Lingo;6.1;867;91;nm0708385;Action,Adventure,Family;2003
Balota;7.7;35;102;nm6060855;Comedy,Drama,Thriller;2024
Cuestión de liderato;7.5;46;33;nm11456205;Documentary,Sport;2020
The Long Night Haul;6.7;7;20;nm0728570;Documentary,Short;1956
Summer with Kuro;6.5;32;80;nm0794168;Animation,Drama;1985
Creep Course;7.4;777;30;nm0090151;Comedy,Crime,Fantasy;1993
Wednesday in Space;8.8;14;97;nm11520655;Comedy;2021
El corazón delator;5.3;50;9;nm2846554;Short,Thriller;2001
Magical Thinking;7.7;203;26;nm3611349;Comedy,Drama,Romance;2019
Animal Heart;6.9;198;91;nm1644444;Drama;2009
The Fun After The Climb!;7.1;8;13;nm10799775;Adventure,Animation,Comedy;2014
Epoch and ShrimpWreck;5.9;40;59;nm2996963;Game-Show,Reality-TV;2018
Phil Tippett: Mad Dreams and Monsters;7.2;373;80;nm4314074;Biography,Documentary;2019
Razor's Edge;8.3;46;43;nm0567680;Crime,Drama;2024
Warsaw Available;6;18;51;nm6482403;Documentary;2009
Young Love;6.7;9;29;nm0865709;Comedy;1974
Frozen Blood Test;6.5;142;1;nm4416364;Animation,Horror,Short;2015
Episode #2.7;5.5;11;21;nm0476476;Reality-TV;2008
Mort;7.2;92;47;nm0775358;Action,Adventure,Comedy;2002
Brent Spiner;5.5;16;30;nm0058266;Comedy,News,Talk-Show;1997
Actress Exits;7.5;274;24;nm0654751;Action,Animation,Drama;1989
Episode #1.4;8.6;17;70;nm11678077;Crime,Drama,Romance;2020
Chudnoto zaharno petle;7.8;6;8;nm1084880;Animation,Family,Short;1971
Dve nedlinnykh skazki;5.5;6;15;nm2087540;Adventure,Animation,Fantasy;2015
The Greatest 80s Movies;7.8;22;180;nm1240980;Documentary;2014
My Name Was Bette: The Life and Death of an Alcoholic;7;266;59;nm4900133;Documentary;2011
Paradise;8.2;42;58;nm0805215;Documentary;2007
A Song for Portland;7.3;440;22;nm1730037;Comedy;2011
Teen Tournament: Grand Finale!;8;11;42;nm0669120;Game-Show,Reality-TV;2015
Carol Channing;7.5;122;30;nm0144353;Comedy,Family,Musical;1980
Horrid Henry: Moody Margaret Moves In;8.1;42;15;nm0881386;Adventure,Animation,Comedy;2006
Episode #10.10;7.6;35;43;nm2427231;Reality-TV;2008
Beginnings;8.2;50;55;nm1968957;Documentary,History;2007
Dlia domashnego prosmotra;7.4;9;30;nm1966334;Biography,Documentary,Family;2009
Mouse on the Mayflower;6.7;210;45;nm0060072;Adventure,Animation,Comedy;1968
Le a fejjel!;3.3;525;89;nm0879423;Comedy;2005
Beyond Reason: A Friend on Death Row;5.6;10;98;nm0429545;Documentary;2000
Let Me Pass;5.8;9;20;nm0436550;Animation,Short;1975
Berkeley in the Sixties;7.5;781;117;nm0457627;Documentary,History;1990
Episode #2.25;7.1;39;44;nm1642615;Reality-TV;2001
Decoding America's UFO Secrets;4.7;11;42;nm3389349;Crime,Documentary,History;2019
